Farm_ID,Date,Demand_kg,AvgTemp_C,Rainfall_mm,Price_per_kg,Household_Income
F1,2023-02,403.2,30.4,54.4,210.58,67088.96
F1,2023-03,448.1,32,75.1,164.41,50627.72
F1,2023-04,374.9,31,201.3,177.77,38900.08
F1,2023-05,461,23.3,153.8,134.93,91219.72
F1,2023-06,348.4,26.2,184.8,158.49,61830.15
F1,2023-07,356.3,25.8,328,174.85,62697.68
F1,2023-08,385.5,30,183.3,184.16,51563
F1,2023-09,301.5,27.9,231.6,192.88,40209.78
F1,2023-10,450,28.1,188.7,181.2,76211.71
F1,2023-11,304.1,26.9,86.7,168.84,72277.27
F1,2023-12,487.8,26.9,72.7,169.21,70222.51
F1,2024-01,321.7,26.1,70.6,180.02,44362.73
F1,2024-02,444.1,29.5,95.6,176.99,75653.19
F1,2024-03,506.2,30.6,87.4,190.94,78347.56
F1,2024-04,444.6,29,165.8,156.36,33621.02
F1,2024-05,281.8,27.6,156.4,151.63,44937.89
F1,2024-06,383.9,25.9,161.6,148.59,70239.35
F1,2024-07,474.3,24.3,191.7,183.5,43159.17
F1,2024-08,436.3,26.3,219.1,138.6,61109.44
F1,2024-09,318.2,24.8,174.1,193.78,81307.56
F1,2024-10,477.3,24.3,171.5,155.9,49445.7
F1,2024-11,397.6,27.9,117.1,162.25,64287.98
F1,2024-12,377.7,27.3,76.7,135.03,41139.9
F2,2014-01,383.6,24.1,87.7,174.48,59753.66
F2,2014-02,516.4,35.1,93.8,203.64,87700.61
F2,2014-03,567,29.3,81.7,200.15,76000.12
F2,2014-04,445.2,32.8,258.5,186.66,62200.71
F2,2014-05,344.7,24.4,260.3,178.01,56614.3
F2,2014-06,451.6,27.6,200.2,142.8,71193.8
F2,2014-07,464,30.3,232.3,161.97,68070.34
F2,2014-08,443.2,28.4,202.4,161.07,62911.35
F2,2014-09,259.2,23.9,253.7,189.3,52798.02
F2,2014-10,289.1,26.7,206.4,201.31,59013.75
F2,2014-11,317.8,29.8,58.9,166.45,69729.55
F2,2014-12,394,28.2,89.7,183,58512.36
F2,2015-01,406.5,23.9,106.9,165.87,49336.92
F2,2015-02,460,30.1,56.6,200.11,59566.13
F2,2015-03,557.7,29.5,75.4,202.15,45834.47
F2,2015-04,466.9,32.5,216.2,197.5,48639.01
F2,2015-05,402.2,25.4,132.1,156.38,72609.65
F2,2015-06,245.6,25.1,167.4,166.54,49677.6
F2,2015-07,381.9,25,323.6,178.51,45495.36
F2,2015-08,388.9,26,197.6,180.5,86724.38
F2,2015-09,340.1,26.1,156.2,164.38,86965.3
F2,2015-10,350.7,24.9,232,175.51,48021.82
F2,2015-11,501,26.7,106.2,182.7,75743.29
F2,2015-12,396.4,28.6,59.3,178.03,92737.61
F2,2016-01,292.5,26.4,62.6,160.32,55194.79
F2,2016-02,489.4,31,78.5,224.55,66544.86
F2,2016-03,416.2,30.2,70.8,156.63,65988.35
F2,2016-04,485,29,232.4,194.49,75706.47
F2,2016-05,348.3,25.1,284.2,158.54,72007.47
F2,2016-06,388.7,27.1,209,157.49,65937.05
F2,2016-07,345.7,26.5,224.7,164.17,35242.63
F2,2016-08,434.8,25.7,197.5,192.98,33904.29
F2,2016-09,518.1,23.8,181.9,145.08,76615.81
F2,2016-10,306.5,22.9,164.6,171.54,40755.12
F2,2016-11,405.6,25,89.9,142.16,47424.19
F2,2016-12,431.6,27.7,80.4,177.64,66450.62
F2,2017-01,331.4,26.5,90.6,158.98,60725.78
F2,2017-02,521.5,29.7,56.2,178.22,60139.38
F2,2017-03,483.3,30.9,72.8,248.76,46932.99
F2,2017-04,552.5,28.1,220.2,195.53,50239.3
F2,2017-05,361.5,25.7,253.7,179.91,62256.28
F2,2017-06,472.1,30.8,218.2,161.02,61012.48
F2,2017-07,454.5,26.9,209.9,147.14,84501.47
F2,2017-08,477.3,26.6,142.7,190.1,56214.3
F2,2017-09,440.4,28.9,217,189.28,77842.06
F2,2017-10,480.6,27.2,138.6,195.8,56079
F2,2017-11,268.3,23.9,72.4,141.2,83917.58
F2,2017-12,282.9,24,53.1,144.14,50985.39
F2,2018-01,413,24.6,73.4,215.05,74726.48
F2,2018-02,440.9,25,63.5,162.21,35319.02
F2,2018-03,527.7,34.9,90.5,207.07,71383.93
F2,2018-04,406.9,30.2,214.1,174.92,55789.87
F2,2018-05,386.1,25.8,115.4,157.65,31318.45
F2,2018-06,377.7,29,219.8,150.35,56630.5
F2,2018-07,391.7,24.1,227.5,174.45,62407.14
F2,2018-08,407.8,28.8,153.1,172.5,53558.92
F2,2018-09,455.3,27.1,206.1,178.02,67494.56
F2,2018-10,471,28.3,135.2,145.12,49606.42
F2,2018-11,519.1,27.8,55.6,153.44,63592.16
F2,2018-12,296.5,30.4,0,182.68,66206.99
F2,2019-01,341.5,25.7,66.3,202.47,36945.78
F2,2019-02,448.2,32.9,75.4,198.29,48415.44
F2,2019-03,537.2,26.2,41.3,179.32,35654.31
F2,2019-04,403.1,27.8,228.2,174.82,60501.88
F2,2019-05,417.9,27.4,168.9,186.67,30093.97
F2,2019-06,462.5,28.5,218.7,183.9,89198.14
F2,2019-07,328.8,29.5,187,171.52,68081.34
F2,2019-08,276.9,26.3,154,201.67,55398.29
F2,2019-09,426.3,23.6,265.7,163.67,78196.47
F2,2019-10,329.6,30.6,207.1,159.45,65425.15
F2,2019-11,418.2,27.2,80.1,143.38,32456.92
F2,2019-12,355.5,23.8,80.2,186.73,60469
F2,2020-01,330.8,26,75,207.94,64010.88
F2,2020-02,310.3,28.7,76.4,185.37,79696.03
F2,2020-03,425.7,30.9,91.7,193.74,60155.29
F2,2020-04,291.3,27.9,134.4,197.45,60809.83
F2,2020-05,241.4,22,203.2,186.35,45502.24
F2,2020-06,351.7,24.6,220.9,146.71,53836.03
F2,2020-07,315.8,25.4,169.3,180.74,36985.52
F2,2020-08,345.9,27,245.6,157.2,74840.54
F2,2020-09,359.8,22.4,141.5,106.81,72946.5
F2,2020-10,207.2,26.2,160.2,151.56,59535.92
F2,2020-11,233.8,25.7,93.9,159.53,25459.55
F2,2020-12,312.8,24.3,61.1,190.44,43187.66
F2,2021-01,321.7,25,83.6,162.92,64148.16
F2,2021-02,378.9,28.7,86,209.16,62048.03
F2,2021-03,217.8,29.1,74.7,165.44,70203.98
F2,2021-04,315,29.1,257.9,215.15,48648.07
F2,2021-05,276.2,25,137.4,195.67,50347.23
F2,2021-06,346.3,26.1,246.4,167.32,76087.61
F2,2021-07,208.6,25.6,227.8,134,56681.2
F2,2021-08,318.2,26.6,186.2,175.16,64238.7
F2,2021-09,332.7,25.7,260.7,181.68,65995.32
F2,2021-10,349,24.9,167.4,179.36,85533.22
F2,2021-11,341.6,26.2,32,197.82,57923.16
F2,2021-12,310.6,25.6,45.5,208.12,65920.07
F2,2022-01,452.7,23.8,59.7,170.29,48226.53
F2,2022-02,435.4,29.8,83,204.45,54407.5
F2,2022-03,514.3,29.2,104.5,154.78,37115.16
F2,2022-04,558.5,28.9,263.1,220.84,90091.39
F2,2022-05,416.5,28.4,303.1,186.56,59894.36
F2,2022-06,422.1,28.2,265.6,171.77,82162.95
F2,2022-07,340.3,25.6,142.9,167.3,67200.89
F2,2022-08,401.6,26.4,131.7,194.42,68731.47
F2,2022-09,503.9,24.1,188.7,131.25,41199.78
F2,2022-10,270,23.2,217.4,172.82,33473.41
F2,2022-11,382.8,25.7,76.5,166.1,54467.55
F2,2022-12,438.3,25.6,78,169.45,86583.77
F2,2023-01,463.7,25.1,103.2,148.04,65929.64
F2,2023-02,370.3,30.7,58.5,170.47,46613.16
F2,2023-03,404.4,29.6,77.1,221.36,52108.83
F2,2023-04,415.7,30.2,199.3,194.94,61309.97
F2,2023-05,263.6,26.2,235.1,159.42,71913.97
F2,2023-06,352.1,26.6,137.3,171.6,65218.59
F2,2023-07,308.2,25.4,159.6,153.79,63008.54
F2,2023-08,473.9,24,257.4,164.09,62284.73
F2,2023-09,284.2,29.6,219,111.57,66548.4
F2,2023-10,399.9,21.3,245.2,155.78,61106.55
F2,2023-11,372.5,26.1,97.9,154.02,52758.85
F2,2023-12,389.7,26.2,50.9,162.79,67671.23
F2,2024-01,480.9,25.9,76.3,168.44,57292.8
F2,2024-02,510.9,30.6,133.9,192.27,38425.83
F2,2024-03,483.8,28.7,88.4,215.62,61017.83
F2,2024-04,499.1,31,242.6,183.3,53945.27
F2,2024-05,366,26.8,152.2,174.07,62872.81
F2,2024-06,383.7,27,212.1,148.75,66424.61
F2,2024-07,333.4,28,190.6,164.66,86893.84
F2,2024-08,489.5,24.4,211.2,173.37,79763.96
F2,2024-09,389.3,28.3,149.7,196.12,58632.46
F2,2024-10,364.5,25,88,186.81,68201
F2,2024-11,308.5,25.3,65.2,129.41,71453.87
F2,2024-12,505.6,23,95.1,178.07,59637.07
F3,2014-01,471.1,26.6,51.9,147.57,53969
F3,2014-02,536.6,29,80.5,151.28,61887.7
F3,2014-03,602.9,27.4,90.6,203.35,41818.65
F3,2014-04,487.1,30.5,241.7,155.9,25845.13
F3,2014-05,360,28.2,207,168.19,64979.7
F3,2014-06,345.4,27.4,209.5,173.92,64754.69
F3,2014-07,367.3,24.9,244.4,206.76,56648.01
F3,2014-08,351.2,26,182.5,137.87,71688.51
F3,2014-09,338.1,24.3,252.5,204.21,58433.26
F3,2014-10,347.6,26.1,191.6,176.95,77452.63
F3,2014-11,471.5,27.3,75.3,190.02,25000
F3,2014-12,399.9,24.7,83.6,187.72,63450.14
F3,2015-01,475.5,23.8,112.1,184.84,61131.5
F3,2015-02,454.8,29.5,38,192.46,68272.28
F3,2015-03,458.1,33.4,70.9,163.6,50823.46
F3,2015-04,540.1,29.1,198.1,161.87,58753.42
F3,2015-05,335.3,27.5,124.8,170.14,76267.19
F3,2015-06,440.6,27,171.1,166.8,70070.1
F3,2015-07,325.9,24.5,210.7,126.76,59721.63
F3,2015-08,359.3,25.2,253.8,133.94,36237.96
F3,2015-09,449.2,27,213.4,159.15,62173.01
F3,2015-10,387.1,24.6,169.3,126.96,49212.7
F3,2015-11,465.6,24,65.8,166.63,78396.08
F3,2015-12,250,28.4,93.1,184.16,63498.24
F3,2016-01,446.5,26.6,89.1,155.1,34543.54
F3,2016-02,350.3,35.4,57.1,150.81,70989.74
F3,2016-03,609,32.6,87.1,175.09,45842.24
F3,2016-04,593.8,29.5,145.3,153.61,49602.2
F3,2016-05,451.2,28.3,108.2,192.53,43635.5
F3,2016-06,471.6,23.8,179.5,150.71,53547.65
F3,2016-07,410.5,25.7,202.5,165.82,34748.43
F3,2016-08,421.4,27.9,159.7,207.83,53068.56
F3,2016-09,321.9,23.7,197.7,170.13,53454.21
F3,2016-10,320.9,25.8,194.5,133.92,54675.19
F3,2016-11,512.9,26.5,68.1,177.39,58390.47
F3,2016-12,374.5,22.9,79,173.67,42295.61
F3,2017-01,412.7,26.5,101.5,159.15,48183.24
F3,2017-02,438.2,29.7,57.6,150.41,71218.65
F3,2017-03,394.2,30.5,48.5,184.28,76514.39
F3,2017-04,445.9,27.5,297.9,242.89,37455.45
F3,2017-05,395.8,26.9,212.7,175.6,50017.72
F3,2017-06,461,25.8,243.7,192.52,59229.09
F3,2017-07,376.4,28.5,111.3,155.49,63607.07
F3,2017-08,465,31.4,79,168.9,64283.31
F3,2017-09,449.7,27.3,226.1,165.91,57971.19
F3,2017-10,491,30.7,250.2,169.63,54172.22
F3,2017-11,426.2,27.9,92.5,155.06,77180.84
F3,2017-12,471,24.2,59.4,189.06,67696.28
F3,2018-01,460.7,27,84.5,158.12,70456.54
F3,2018-02,490.6,31.2,93.6,173.6,59639.58
F3,2018-03,383.8,26.7,37.2,187.3,60452.86
F3,2018-04,483.3,29.1,230.4,186.42,61237.69
F3,2018-05,336,24.6,191.9,151.2,72442.12
F3,2018-06,285.1,25.5,190.3,171.58,60347.08
F3,2018-07,339,28.4,117.4,173.68,87007.67
F3,2018-08,333.6,26.4,261.9,186.87,68391.74
F3,2018-09,415.8,28.7,211.8,159.82,59616.39
F3,2018-10,413.6,24.6,111.5,157.48,60230.68
F3,2018-11,337.3,23.9,89.1,152.66,50128.25
F3,2018-12,444,23.3,63.9,190.55,50044.19
F3,2019-01,493.7,27.9,66.8,167.94,63980.44
F3,2019-02,507.7,25.1,58.3,209.31,78541.96
F3,2019-03,433.4,30.4,71.8,214.08,57908.31
F3,2019-04,477.5,30,177.5,178.99,41689.31
F3,2019-05,490.6,25.7,174.6,163.6,54050.07
F3,2019-06,539.1,25.3,224.1,183.41,43922.14
F3,2019-07,365.6,27.6,122.3,186.2,76127.64
F3,2019-08,317,29.1,131.6,163.43,69047.81
F3,2019-09,270,25.7,172.8,172.38,37120.21
F3,2019-10,301.7,25.6,143.3,218.25,71769.06
F3,2019-11,553.2,25.5,69.6,174.33,75804.19
F3,2019-12,541.6,26.2,55.5,183.46,68877.21
F3,2020-01,228.9,24.9,62.9,194.87,74830.04
F3,2020-02,364.3,31.3,43,197.24,35352.17
F3,2020-03,482,29.9,56.1,212.63,56914.09
F3,2020-04,316.5,28.7,167.5,178.21,63697.57
F3,2020-05,340.5,29.2,135.1,158.34,74810.02
F3,2020-06,235.6,25.4,196.2,142.08,91343.08
F3,2020-07,254.1,27.2,201.9,166.63,57294.12
F3,2020-08,269.8,21.6,268.6,128.78,56000.22
F3,2020-09,295.5,26.7,222.4,168.14,90364.64
F3,2020-10,341.7,26.4,131.8,187.7,60287.22
F3,2020-11,368.8,23.5,68.3,180.45,82261.74
F3,2020-12,227.4,25.4,77.1,139.82,69067.73
F3,2021-01,243.3,27.4,79.4,165.48,54624.9
F3,2021-02,443.1,31.5,57,171.41,35951.09
F3,2021-03,449.4,32,32.7,156.53,60214.1
F3,2021-04,456.3,29.2,152.3,211.39,99513.33
F3,2021-05,397.5,23.3,155.1,199,54586.63
F3,2021-06,213.1,26.8,26.4,148.72,66658.2
F3,2021-07,418.5,26.4,69.8,156.64,45717.32
F3,2021-08,303.9,26.2,221.1,167.43,25000
F3,2021-09,262.7,23.8,145.6,154.14,56224.04
F3,2021-10,328,23.9,256.7,173.72,42968.09
F3,2021-11,336.7,28.8,58,160.27,67204.57
F3,2021-12,231.4,27.1,58.6,144.16,71894.02
F3,2022-01,333.5,26.5,62.3,173.14,76229.13
F3,2022-02,523.1,31.6,89.9,181.55,70148.97
F3,2022-03,467.6,31.1,59.3,208.75,69504.17
F3,2022-04,419.7,25.2,204.4,175.75,81666.31
F3,2022-05,373.7,26.9,197,181.5,67509.99
F3,2022-06,423.9,26,202.5,165.24,64035.36
F3,2022-07,364.9,28.8,212.2,152.74,70402.18
F3,2022-08,368.6,28.1,180.4,192.23,89020.59
F3,2022-09,326.6,24.7,203.5,142.95,37164.61
F3,2022-10,359.7,24.7,255.6,155.93,73979.7
F3,2022-11,361.8,24.7,106.3,159.03,62400.27
F3,2022-12,383.3,28.2,80,200.41,52578.29
F3,2023-01,365.6,24.9,64.1,169.03,60491.95
F3,2023-02,505.1,29.5,0,153.08,46057.34
F3,2023-03,387.6,28.7,40.1,169.92,63109.01
F3,2023-04,418,28.6,203.5,179.07,55925.17
F3,2023-05,465.4,28.7,283.7,190.27,36375.31
F3,2023-06,427.1,27.3,246.3,181.03,65108.84
F3,2023-07,414.3,23.3,219.5,203.91,60656.7
F3,2023-08,442.8,25.3,187.2,192.49,54988.84
F3,2023-09,469.5,24,228.2,167.18,64748.1
F3,2023-10,373.7,22.8,209.5,204.99,80721.81
F3,2023-11,453.6,27.4,44.2,181.36,49520.93
F3,2023-12,412.3,29.4,52.6,158.4,63591.07
F3,2024-01,444.5,26.9,80,174.14,81255.31
F3,2024-02,433.6,30.3,83.6,193.08,71497.01
F3,2024-03,501.7,30.6,35.6,202.82,92120.75
F3,2024-04,427.1,31.7,162.5,200.77,62763.72
F3,2024-05,305.1,22.5,176,131.61,59792.43
F3,2024-06,474.3,25,165.5,156.02,52614.63
F3,2024-07,493.5,23.9,227.1,189.36,55030.37
F3,2024-08,378.2,23.8,169.4,127.1,67992.5
F3,2024-09,474.3,25.1,252.4,164.9,58118.19
F3,2024-10,421.6,26.2,216.4,191.3,27896.01
F3,2024-11,499.4,26,42,179.65,66301.42
F3,2024-12,298.1,30.1,82.1,150.24,68021.68
F4,2014-01,352.8,27.5,49.3,188.37,41314.24
F4,2014-02,344.4,28.6,71.1,238.53,66494.4
F4,2014-03,472.5,28.9,42.4,231.77,36210.25
F4,2014-04,510.7,33.7,106,137.29,60050.63
F4,2014-05,414.1,27.8,216.4,151.66,54964.04
F4,2014-06,317.1,26.9,160.5,187.17,56480.69
F4,2014-07,382.5,23.1,201.9,154.7,90429.43
F4,2014-08,327.1,23.8,247.9,175.61,86379.31
F4,2014-09,406.1,26.8,218.6,166.26,56416.31
F4,2014-10,467.6,26.7,271.5,154,59047.13
F4,2014-11,472.1,25.1,94.7,188.81,67442.47
F4,2014-12,298,26.4,70.9,194,52621.46
F4,2015-01,306.4,27.2,32.5,140.58,57198.42
F4,2015-02,508.3,33.5,57.6,185.82,91652.03
F4,2015-03,443.5,33,75.4,198.29,71266.96
F4,2015-04,517,27.7,231.2,175.59,67932.47
F4,2015-05,455.9,25.8,207.5,176.23,85499.36
F4,2015-06,454.7,26.4,253.6,168.15,41743.19
F4,2015-07,307.8,27.9,150.6,154.3,54442.38
F4,2015-08,364.7,26,129.7,174.45,52809.95
F4,2015-09,412.2,25.2,257.8,187.09,43620.99
F4,2015-10,381.5,26.3,244.5,153.65,50856.48
F4,2015-11,444.5,27.4,49.7,145.35,68284.5
F4,2015-12,335.1,24.6,82.5,151.01,81521.02
F4,2016-01,362.4,25.9,60.8,138.7,61430.16
F4,2016-02,534.8,31.4,64.7,196.7,64742.34
F4,2016-03,390.9,26.9,79.4,202.25,44749.75
F4,2016-04,531,29.9,187.8,211.64,40316.71
F4,2016-05,484.6,28.7,231.1,210.4,74501.41
F4,2016-06,550.8,29.3,216.5,162.97,83451.2
F4,2016-07,366.9,29.1,159.1,173.18,56902.79
F4,2016-08,503.4,23.1,228,182.51,73278.47
F4,2016-09,426.6,26.2,170.4,193.42,68374.38
F4,2016-10,399.9,26,192,190.23,80122.14
F4,2016-11,391,25,55.2,177.47,54034.44
F4,2016-12,348.2,27.9,106.4,201.08,72809.64
F4,2017-01,462.8,26.9,78.3,231.24,43452.26
F4,2017-02,579.6,26.7,63.7,155.22,76693.59
F4,2017-03,525.4,29.7,53.9,205.98,66431.86
F4,2017-04,518.2,29.7,182.9,195.77,61121.64
F4,2017-05,297,25.8,259.6,166.07,56912.11
F4,2017-06,307.3,25.6,162.7,135.96,53057.76
F4,2017-07,345.3,28.1,169.4,162.96,48450.06
F4,2017-08,347.5,25.1,135.2,162.41,64980.98
F4,2017-09,330,25.2,244.1,153.03,68596.92
F4,2017-10,425.2,25.3,110.7,146.69,60270.62
F4,2017-11,395.1,27.6,41.5,153.34,73730.85
F4,2017-12,372.6,25.8,59,180.84,84617.39
F4,2018-01,484.3,27.4,92.6,131.45,55816.75
F4,2018-02,480.8,29.9,86.9,214.94,59069.94
F4,2018-03,494.7,29.3,89,184.52,56349.24
F4,2018-04,528.9,33.8,185,195.91,37250.36
F4,2018-05,289.5,23.7,273.8,175.82,46370.25
F4,2018-06,344.2,26.9,164.2,147.9,63308.12
F4,2018-07,377,25,260.9,153.1,66023.41
F4,2018-08,314.8,27,223.4,178.17,55382.87
F4,2018-09,309,24.2,158.1,177.5,80310.29
F4,2018-10,334.7,25.7,234.4,169.38,46354.75
F4,2018-11,345.5,24.7,51.3,187.8,83865.29
F4,2018-12,349.6,25.9,65.9,159.48,80825.07
F4,2019-01,288.1,26.8,62.3,147.8,96150.73
F4,2019-02,479.4,30,74.4,191.13,52317.81
F4,2019-03,336.8,29.6,94,183.97,63737.68
F4,2019-04,449.6,28.4,155.3,218.58,50775.74
F4,2019-05,368,25.1,216.3,206.97,57366.54
F4,2019-06,493.9,26.2,233.4,155.95,41929.6
F4,2019-07,400.4,26.4,225.3,189.71,73037.32
F4,2019-08,385,24.2,177.2,189.83,75575.66
F4,2019-09,266.6,23.4,145.6,162.15,74948.56
F4,2019-10,306.6,27.3,176.7,148.09,64475.88
F4,2019-11,394.7,27,68.9,137.39,78089.92
F4,2019-12,526.5,26.9,85.5,181.32,70485.2
F4,2020-01,282.5,23.8,82.7,188.83,47632.29
F4,2020-02,311.2,28.9,57.8,186.33,85690.02
F4,2020-03,359.4,29.9,31.8,183.49,78955.6
F4,2020-04,439.2,31.1,157.7,179.23,72889.71
F4,2020-05,365.2,26.2,193.9,165.02,66350.13
F4,2020-06,418.7,22.5,304,163.54,66759.83
F4,2020-07,288.1,29.8,179.3,135.14,66443.45
F4,2020-08,295.9,21.7,221.7,136.11,50449.95
F4,2020-09,379.3,20.3,124,171.14,48116.87
F4,2020-10,266.3,26.8,88.2,160.2,89357.62
F4,2020-11,267.1,24.7,20.2,186.62,57977.99
F4,2020-12,362.6,26.5,55.9,167.35,50545.7
F4,2021-01,325.4,25.3,93.2,143.53,43960.7
F4,2021-02,317.7,32.3,34.3,178.36,55007.09
F4,2021-03,459.5,29.4,46,207.81,65303.22
F4,2021-04,408,32.7,187.2,183.46,87270.93
F4,2021-05,357.5,26.5,185.1,188.62,57212.31
F4,2021-06,337.2,25.9,215.5,121.33,71395.68
F4,2021-07,336,24.6,275.4,153,84742.21
F4,2021-08,365.5,24.5,253.5,138.58,68585.85
F4,2021-09,285.8,28.5,87.6,173.25,57085.96
F4,2021-10,294.1,28.1,162.2,195.16,54629.56
F4,2021-11,231.3,25.8,58.1,171.17,58661.49
